id,YCoordinate,XCoordinate,gaul_adm0,gaul_adm1,gaul_adm2,esatrees,jaxatrees,jrcgfc2020,gfctrees2020,gladlandcovertrees2020,phtf2020,wcmcwdpaprotection,raddalerts,oilpalm,fdappalm,cocoakalischek,jrctmfplantations,jrctmfundisturbed,geometry
0520cfac98fbc1bd7952b1c07a9f6983b83625722b6f665ea83ac9aad3512918,0,0,Côte d'Ivoire,Lagunes,Agneby-Tiassa,100,100,95,62,5,0,0,10,0,0,0,100,0,"{      ""coordinates"": [        [          [            -4.102889299392701,            5.713707261060872          ],          [            -4.102438688278199,            5.710173648788193          ],          [            -4.101483821868897,            5.710205675583411          ],          [            -4.101086854934693,            5.710664726118069          ],          [            -4.100604057312013,            5.710344458341974          ],          [            -4.100368022918702,            5.711657555086256          ],          [            -4.100528955459596,            5.712810515599572          ],          [            -4.101483821868897,            5.713525776973704          ],          [            -4.102889299392701,            5.713707261060872          ]        ]      ],      ""type"": ""Polygon""    }"
b7c15efb6e3c63fcfe649a2d994973a6f5caa844f720f0edb7cf24f6a6c3c1b3,0,0,Côte d'Ivoire,District autonome de Abidjan,Abidjan,100,100,99,70,58,0,0,74,0,0,0,0,0,"{      ""coordinates"": [        [          [            -4.120017886161805,            5.573034643691009          ],          [            -4.12039339542389,            5.572479381023914          ],          [            -4.120345115661622,            5.571790641024665          ],          [            -4.120629429817201,            5.571139273770617          ],          [            -4.120286107063294,            5.570781555381226          ],          [            -4.120109081268311,            5.571107239296866          ],          [            -4.1195833683013925,            5.571112578375947          ],          [            -4.118923544883729,            5.571902761544696          ],          [            -4.118043780326844,            5.572335226207187          ],          [            -4.119004011154176,            5.57285311556915          ],          [            -4.119760394096375,            5.573413716940999          ],          [            -4.120017886161805,            5.573034643691009          ]        ]      ],      ""type"": ""Polygon""    }"
b84f55de2b7f3c77d1cbeb8b026a1b29be42d8b08d92058c9143e0556456820f,0,0,Côte d'Ivoire,Lagunes,Agneby-Tiassa,33,0,73,78,33,0,73,23,0,0,0,100,0,"{      ""coordinates"": [        [          [            -4.086956977844239,            5.6747295671681774          ],          [            -4.08767580986023,            5.672711751061028          ],          [            -4.087289571762086,            5.672594311810939          ],          [            -4.087091088294984,            5.6732135366784116          ],          [            -4.08668339252472,            5.673181507822257          ],          [            -4.08593773841858,            5.674558747030553          ],          [            -4.086956977844239,            5.6747295671681774          ]        ]      ],      ""type"": ""Polygon""    }"
fa2aff0d60cf1bc0e1f1dd4b91daf932940c31c021ca1b84f5b9445855eef02f,0,0,Côte d'Ivoire,Montagnes,Cavally,41,0,99,44,41,0,0,6,0,0,0,0,0,"{      ""coordinates"": [        [          [            -7.5078946352005005,            6.07248787441419          ],          [            -7.506564259529114,            6.072546551903519          ],          [            -7.506065368652345,            6.070471498624001          ],          [            -7.507594227790833,            6.070455495611355          ],          [            -7.5078946352005005,            6.07248787441419          ]        ]      ],      ""type"": ""Polygon""    }"
